Set Number,Task Number,Evaluation Set/Reflection Stage,Evaluation Set/Reflection Lay,Evaluation Set/input,Full Text Link
,13,Осмысление результатов,Чистое мышление,"Мое представление о работе модератора особо изменений не претерпело. На мой взгляд это связано с тем, что я некоторое время назад посмотрела все лекции предыдущей итерации курса и несколько раз перечитывала “Игротехнический букварь”. Однако мне наконец на реальном опыте удалось прикоснуться к это позиции. То есть часть моих представлений была проверена эмпирически. Что касается изменений в представление: в начале курса меня волновал вопрос позиционирования модератора в группе. То есть человек в позиции модератора мне представлялся как тот, кто отдает себе отчет за каждое свое действие и слово. Для меня каждая фраза, положение модератора в пространстве и работа с группой в неформальной обстановке (вне рабочего такта) и многие другие факторы были принципиально важными, поскольку они могут повлиять на работу группы. В реальности же оказалось, что учитывая все эти факторы можно просто сойти с ума. Большая часть из них учитывалась мною “автоматически”, а что-то в процессе работы становилось не столь важным. К примеру, вот чему я старалась следовать всегда (если это напрямую не противоречило моему функционалу) - не стоять с маркером возле доски, а занимать такое пространство и организовывать его так, чтобы участники “самоорганизовывались” и работали в больше степени с доской самостоятельно. В действительности же, я не так часто задавалась мыслями “А в той ли части комнаты я стою, как я стою?” и т.д. и чаще работу с доской напрямую проще было организовать “словами через рот”. Еще я для себя отметила как навыки и компетенции модератора могут стать его помощником в командной деятельности. Ведь по сути то, что модераторы разворачивают вместе с группой во время проектной деятельность вполне можно применять и в собственных командах.",
,14,Осмысление результатов,Чистое мышление,"Принципы:
схематизация - фиксация содержания на доске в виде схем;
рефлексия - рефлексия это то, без чего было - не было; в том числе “шизофрения”, выраженная в постоянном обнаружении Себя в том или ином слое (мДе, МК, ЧМ);
удержание позиции модератора (не свалиться в участника, руководителя и т.д.)
удержание задачи РПР
организация эффективной коммуникации и т.д.",
,15,Осмысление результатов,Мыследеятельность,"Конечно, если бы у меня правильно была оформлена рефлексия по итогам тактов, то мне бы ничего не стоило сейчас написать список освоенных инструментов :) По итогам курса точно могу сказать, что мне теперь не так страшно заходить в группу и организовывать логику ее работы (другое дело, что это мне не всегда нужно). Инструментарий:
реконструирование замысла РПР и построение своего замысла, включающего задачи РПР
анализ собственной деятельность и модераторская рефлексия
способы вовлечения неактивных участников (функционализация, вопросы, начать обсуждение с этого участника)
разделение участников группы для более эффективной работы (индивидуальная проработка/изучение материала на N минут)
повторение установки РПР
организация коммуникации путем “закончи предложение: …” и т.д.
",
,16,Проектирование,Мыследеятельность,"Игротехника ради игротехники дело не самое стоящее. В первую очередь, неплохо было бы разобраться с собственным целеполаганием. Может, модераторская деятельность не то, что мне сейчас нужно. В целом, сейчас я собираюсь продолжить двигаться как игротехник (организатор ситуационно-деятельностных игр). Эрик Берн и Йохан Хёйзинга в планах на прочтение, а за ними и рефлексивные игры Лефевра.",
4,17,Анализ ситуации,Мыследеятельность,"На данный момент, я планирую развиваться в отрасли программирования, однако мне необходимы модераторские навыки, ввиду того, что после приобретения всех необходимых навыков, я выйду в позицию продюсера и буду заниматься управлением IT компаний. Конечно, модератор и управленец это разные позиции (позиция модератора не подразумевает участие в работе группы), но не противоположные. Кроме того в недалеком будущем мне предстоит подготовить диплом, основанный на создании стартапа.",https://docs.google.com/document/d/11mR4981CUONE0geAaAnE93hhJnTu9Cqs/edit?usp=share_link&ouid=114486108545068717063&rtpof=true&sd=true
,18,Осмысление результатов,Мыследеятельность,"Так как мне уже приходилось модерировать группы без базовых навыков группового целеполагания участников, рефлексии и т.д. в начале этого года, я могу точно сказать о том, что результат работы группы и сам процесс сейчас, оказали куда эффективнее, относительно 1 раза. Какую роль это играет для меня? Это говорит о том, что теперь я понимаю, как строить работу группы не вваливаясь в роль соучастника, я могу не заходить в само проектирование, как таковое и при этом активно сопутствовать достижению результата. Если мы говорим о каком-то самоорганизующемся обществе будущего, эти навыки помогут мне активно перемещаться между ролями и позициями, в том числе чтобы стать управленцем, предпринимателем или продукт менеджером, что станет более ясным в результате моего окончательного самоопределения.",
,19,Анализ ситуации,Коммуникация,"Модератор должен переводить участников из состояния полемики в состояние действия, например, просить тезисно или схематично отображать продукт своих мышлений.
Модератор не проектировщик и нужно избежать истории, когда слова модератора воспринимаются, как должное.
Задача модератора привести мысль к лаконичному тезису из общности высказываний группы, при этом не исказив смысл.
Работа с целеполаганием, как со своим собственным по отношению к группе, так и каждого участника группы к проектированию по отдельности, является наиболее значимым инструментом на пути к продуктивному действию.
Отнестись к чужой схеме и понять логику и ее структуру гораздо проще, чем со слов, также и наоборот. В таком ключе, схематизация - наиболее эффективный способ коммуникации модератора с командой, а также участника с участником.",
,20,Анализ ситуации,Мыследеятельность,"Целеполагание участников (и свое собственное)
Способность схематично отображать мысли группы
Способность приводить участника и группы к истинности их намерений
Классификация уровней коммуникации и определенные способы взаимодействия
Как работать с вовлеченностью каждого участника в результат групповой деятельности
Групповая рефлексия",
,21,Проектирование,Коммуникация,"Обязательных встреч далее не будет и мне интересно проверить: правильно ли я сработала с позицией группы и их целеполаганием, в том плане, продолжат ли они работу самостоятельно? Поступит ли запрос на помощь игротехников? Смогут ли они реализовать свой продукт? Таким образом, я смогу получить невербальную обратную связь о качестве проделанной мной работы.
Углубление в СМД подход, погружение в смыслы и замыслы Щедровицкого.
Освоение более продуктивной и глубокой командной рефлексии.
Заходя модератором в следующий раз, наибольший акцент я буду делать на целеполагание участников и общность их целей.",
5,22,Проектирование,Мыследеятельность,"Должен сказать, что позиция модератора в моем самоопределении пока не может найти места как таковая, я пока не предполагаю вести полноценной модераторской деятельности, однако с радостью поучаствовал бы в различных мероприятиях в данной позиции больше для достижения собственных целей. В то же время из курса я выделил множество различных знаний, которые мне определенно помогут в ближайшей деятельности.",05_Set.pdf
,23,Проектирование,Чистое мышление,"В первую очередь это знания об СМД-методологии, как гносеологической концепции, основные постулаты которой мне очень близки и кажутся верными и продуктивными для применения в собственной траектории развития. Таким образом мое желание развиваться в некоторых аспектах деятельности теперь приобретает более практический характер (ранее я был склонен больше изучать тему в теории чем на практике, что как оказалось было гораздо менее продуктивно). Например, я не так давно определился, что пока буду двигаться в образовательном треке, меня очень заинтересовала эта тема — она дает возможность прикоснуться к масштабным изменениям общества и поменять к лучшему текущую картину, которая мне совершенно не нравится. Первыми шагами в продвижении внутри этой темы я избрал проектирование электива вместе с командой единомышленников. Для меня это станет попыткой занять позицию образовательного инженера, а в дальнейшем, может быть, методолога.",
,24,Осмысление результатов,Коммуникация,"Хоть в рамках курса эта тема не была затронута как таковая, но из деятельности проведенной в рамках курса можно вытащить и такие знания. Мне кажется рефлективное управление может пополнить мой инструментальный ящик методов мягкого управления. Многие мои гипотезы по отношению к данной деятельности я уже испробовал в работе с группой в рамках проекта “умный дом”. Могу сказать, что не все в моем исполнении работает и не все в моем исполнении проходит так мягко как я планировал, например Валерия, которая также присутствовала на дебютах, заметила, что я хоть и являюсь участником группы и ее руководителем, скорее веду себя как модератор, но не избегая выполнения своих обязанностей.",
,25,Осмысление результатов,Коммуникация,"Понимание сложностей, которые возникают в процессе коммуникации сделало ее более легкой. В этом плане также могу отметить такие практики в школе игротехников как герменевтика и диспуты, которые также помогают выстраивать работу с пониманием (или не пониманием — зависит от ситуации). Также помогло в этом плане переосмысление несколько раз дополненной схемы мыследеятельности. Понимание данной структуры позволяет более успешно коммуницировать благодаря лучшему пониманию движения мысли и роли контекстов в коммуникации. Также стала открытием схема областей коммуникации, которая добавила осознанности в работе с расхождениями и классификацией коммуникации, а также в работе с инструментами, позволяющими эту деятельность вывести в продуктивное русло. У меня уже есть опыт видения и применения этого в деятельности не в позиции модератора.",
,26,Осмысление результатов,Мыследеятельность,"Первое и самое важное что я понял — зачем нужен модератор в команде. Теперь я понял на сколько эта позиция важна для продуктивности действия, ведь модератор не управляет, а направляет, чтобы группа не уходила слишком далеко от первоначальной идеи и хоть у людей уже какое-то время находящихся в проектной работе такое сводится к минимуму, однако все равно такое происходит и модератор в этом случае необходим, так как расхождение может обнаружиться очень поздно, когда уже много времени потрачено впустую. Однако могу предположить, что позицию модератора в группе может занимать один из участников, обладающий данной компетенцией. Например, в работе над элективом мы планировали звать к себе модератора, но пока эту позицию (вместе с позицией участника) занимаю я. Мне кажется подобное действие не отвечает принципам модерирования - а именно не вмешиваться в логику, направлять, а не управлять, но в то же время на данный момент в нашей группе по проектированию электива это привело только к увеличению продуктивности. У меня также появилось предположение, что это не позиция модератора, а какая-то иная, просто использующая те же инструменты. Однако от нее отходить я пока не планирую.",
,27,Осмысление результатов,Чистое мышление,"На данный момент я осознал насколько плоским было понятие рефлексии, которое нам давали на первом курсе. Дебюты и школа игротехников сильно углубили это понятие и дало знания о его применении. Еще на средовых я научился писать, а теперь я точно научился рефлексировать написанное, однако прошлого уже не вернуть и от того немного грустно, но теперь мои действия будут значительно продуктивнее для моего будущего я.",
,28,Осмысление результатов,Коммуникация,"Из обоих курсов я почерпнул для себя большое кол-во схем, а также приобрел большую насмотренность, что позволяет мне с большим успехом конструировать схемы для понимания которых нужно меньше усилий, что также выводит коммуникацию на уровень выше и позволяет экономить время. Однако большое ограничение в том, что читающий человек должен быть знаком с обозначениями на схеме иначе он просто ее не воспринимает или быстро забывает что схема обозначала.",
,29,Проектирование,Мыследеятельность,"Вроде бы ответил на все вопросы, которые были поставлены, хоть и не так структурировано как хотелось бы. Но хотелось бы еще раз обозначить свои дальнейшие действия:
– Создание электива
– Участие в средовых проектах
– Создание общества людей с которыми мы могли бы продолжать учиться и развивать, расширять и практиковать полученные знания
– Создание проекта более масштабных изменений (будет явно не скоро)",
6,30,Анализ ситуации,Коммуникация,"Ответить на этот вопрос мне достаточно сложно, потому что в дальнейшем не вижу себя в позиции модератора проектной работы. В некотором смысле позиция модератора связана с намеченной, так скажем, мною профессиональной траекторией. На данном этапе, я черпаю от пространства, в котором нахожусь, множественные ЗУН и тем самым становлюсь ближе к осуществлению своего плана. Электив «Игротехнические дебюты» не стал исключением. Отсюда я ухожу с множеством инструментов, средств, компетенций и, конечно же, с опытом в реальной практики. На протяжении двух лет учебы, у меня возникали сложности с коммуникацией, пониманием и принятием мнения других людей, сейчас я вхожу в группу уже под другим углом, коммуникация стала легче, а работала стала эффективнее, на мой взгляд.",06_Set.pdf
,31,Анализ ситуации,Чистое мышление,"Для себя я отметила, что целей как таковых у меня не было. Да, это было из разряда «попробовать, понять», попробовать себя в роли модератора, понять что я делала не так, когда моделировала, без опыта и понимания кто такой модератор и какова его роль в целом. После второй-третьей лекционной пары, я поняла, что пошла неправильным для себя путём, потому что чувствовала, что там, где я нахожусь и что делаю, мне совсем не нужно, начала разбираться почему в моей голове закрепилась мысль «я нахожусь не там, где должна быть», объективно никто, кроме меня, не подвергнет сомнению эту мысль. Вскоре я поняла, что именно этот электив поможет мне приобрести и укоренить навыки, которые не закреплены в моей голове, они лишь на поверхности, это как знать состав воздуха, но думать, что состоит только из CO2. Это может звучать странно и довольно сложно это объяснить.",
,32,Осмысление результатов,Чистое мышление,"В своем случае я бы поставила вопрос иначе: «Каково мое новое представление о работе модератора проектной работы?» В момент я почувствовала, что уже не считаю о том, что что-то знала вообще о работе модератора. Мне всегда казалось, что это человек, который помогает, делают неправильно-исправляет, говорит как нужно… я бы сказала, что мое представление не изменилось, оно меняется и уверена, что не остановится меняться. Для себя отметила, что как только закрепляешь в голове мысль «о, теперь я понимаю», происходит что-то (например, добавляется информация; вследствие практики и работы с группой, меняется то, что ты вроде бы понял; и тд) и после этих моментов уже и не кажется, что есть единственный правильный вариант того, как поступить в той или иной ситуации. Представление о работе модератора никогда не будет прежним, особенно после введенной схемы.",
,33,Осмысление результатов,Коммуникация,"Их множество, но для себя я выделила три самых значимых, думаю их фиксация мною, связано с моим дефицитом и непониманием.
        1.        «Уметь выделять в обсуждении не вещи, а мнения о вещах»
Этот принцип очень помог мне при работе с группой, я зафиксировала для себя, что раньше у меня не было явного разграничения.
        2.        Упорядочивать содержание.
Раньше бы я пыталась остановить дискуссию, прекратить какие-либо разногласия в команде, сейчас поняла и практика подтвердила то, что я могу из этого хаоса взять для себя и для команды. И пришло понимание, действительно, в результате такого «коммуникативного хаоса» группа продуктивнее генерирует идеи и активнее высказывают свои точки зрения.
        3.        Удерживать фокус на цели и предмете работы группы.
Всегда считала, зачем модератор постоянно все пишет сам на доске или постоянно повторяет нам наши же мысли. А действительно, группе очень помогает не сбиться и «не уйти в дебри» фиксация и удержание фокуса модератором.",
,34,Осмысление результатов,Мыследеятельность,"Какие инструменты работы игротехника Вы освоили в ходе курса?
Самый главный для меня инструмент, это рефлексия. Я углубилась в принцип проведения правильной рефлексии. Это самый главный инструмент для меня, пришло понимание, что все это время я была слишком далека от рефлексии.
Второй инструмент, это целеполагание. Группе очень помогает продвигаться, когда они четко знают с чем и зачем они зашли в группу. Лично для меня, этот инструмент отлично работает в тандеме с рефлексией.
И третий инструмент, это вопрошание. Я не пользовалась до этого этим инструментом, в основном всегда просто говорила группе что было не так и где разрывы в их логике, с помощью вопрошания, группа сама приходит к тем самым разрывам и самостоятельно их устраняет.",
,35,Проектирование,Мыследеятельность,"На данный момент, я бы хотела и дальше практиковать все инструменты и укоренять их, делать их своими привычками. Именно сейчас эти инструменты, если можно так сказать, упрощают мне жизнь, поэтому было принято решение сделать их привычками-образом жизни. Как один из следующих шагов, я бы хотела собрать команду экспертов (по совместительству заинтересованных людей) и создать свой электив. Идеи есть, хочется приступить к реализации. Также дальнейшая модерация команд не только команд внутри Школы Х, но и хотелось попробовать зайти в пространство Т-университета, ребята там обладают невероятной энергетикой и заинтересованность.",
7,36,Анализ ситуации,Мыследеятельность,"Данный электив выбирался мной с целью понять, насколько концепция модератора проектной работы совпадает с моей профессиональной/образовательной траекторией возможного тимлида, как это сейчас принято называть. И у меня неоднозначная оценка на этот счёт, с одной стороны тимлид должен следить и управлять командой для успешной сдачи проекта и при этом является участником команды. А другой стороны - модератор проектной работы, который представляет собой некие границы, которые не даёт группе потерять фокус на истинной цели. Но, я могу переложить опыт с модераторской деятельности на мою будущую позицию, как руководителя команды. И при этом нужно иметь какое-то время на адаптацию, так как это две совершенно разные роли, хоть одна из них и может вбирать в себя процессы другой. Особенно трудно будет учитывать себя во всем этом процессе командной работы. Поэтому могу отметить, что в моей профессиональной траектории позиция модератора занимает отдельное место, как для развития меня, как личности, так и для карьерного роста.",https://docs.google.com/document/d/19Hj2-c8eHEGIogXdf0s0EwmM_HbUeQPH/edit?usp=share_link&ouid=114486108545068717063&rtpof=true&sd=true
,37,Осмысление результатов,Мыследеятельность,"В ответе на предыдущий вопрос я отметил, что позиция модератора имеет прямое влияние на результат моей образовательной траектории и её продолжения дальше как профессиональной. С моим хоть и малым опытом работы в командах я понимаю, что всегда команде нужен тот самый человек, который будет нести всю её логику и вести людей за собой. Поэтому модуль сыграл важную роль в неком толчке меня к позиции лидера команды. На этот модуль я хотел попасть ещё с начала курса, потому что рассчитывал получить базисную информацию, которую я мог бы дополнять в будущем.",
,38,Анализ ситуации,Мыследеятельность,"По большей части я видел модератора, как некий центр, который концентрирует информацию команды и может подсказать им как идти дальше.
Модератор - не участник группы, это отстраненный от сути рабочего процесса человек, но, который следит за качеством работы группы и делает подсказки из личного опыта.
Модератор должен вытаскивать самую суть из слов участника и давать обратную связь только по тезису участника.
Схема - лучший источник и форма хранения информации. Она позволяет огромный блок текста записать в виде простой к пониманию, очень сжатой картинки.",
,39,Осмысление результатов,Коммуникация,"В ходе курса я разобрался и усвоил несколько техник, которые помогают модератору выстроить продуктивную и конструктивную работу в группе.
Прирост получаемый от рефлексии и почему все таки, она обязательная часть командной работы. Раньше я считал рефлексию сугубо личной частью, которая даёт, по большей части, сосредоточиться на работе.
Работа со словами участника. Или как идею и обычный поток мыслей, перестроить в тезис и отполировать предложение участника.
Работа с целями группы и участников группы, что является фундаментом дальнейшей работы.
Работа со схемами группы.",
,40,Проектирование,Мыследеятельность,"Хотелось бы найти и добавить в свою копилку побольше схем, которые будут, независимо от команды и цели команды, помогать выстраивать работу внутри команды и конструировать информацию на благо участников группы. Возможно стать в позицию модератора в работе с 1 курсов, в рамках уже их проектов.
Хотелось бы начать применять полученные знания внутри рабочих групп, с точки зрения лидера команды и понять, насколько бьется моя теория о возможности применения модераторского опыта внутри работы в группе, как участник-лидер.",
8,41,Анализ ситуации,Мыследеятельность,"Отвечая на этот вопрос могу ответить, что в позиции модератора, лично я себя не вижу. И у меня не было изначально такой цели. Я в дальнейшем хочу занимать иную позицию, в которой я бы лишь использовал подходы и инструменты модератора в проектной работы, как бы налаживая проектную работу команды, в которой я же и нахожусь. Модераторство помогает мне выйти наружу и посмотреть на команду, не со стороны ее участника, а больше со стороны модератора или ПМ.
К тому же, я в своей будущей профессиональной сфере (в частности это робототехника) вижу, что в ней есть серьезный недостаток людей, которые могли бы занять описанную выше мной позицию. На данный момент я начинаю только понимать сферу, и понимаю теперь как можно изменить ее организацию. В робототехнике нужен новый подход в проектировании. Потому что сейчас это выглядит так: есть три позиции, все работают отдельно и сами, коммуникация между позициями в крайних случаях. Не буду описывать полную картину сейчас. Я делаю выводы из своего личного опыта и опыта коллег. И я считаю, что это связано с данным и навязанным всем робототехникам подходом, меня он категорически не устраивает.",https://docs.google.com/document/d/1XbRuCPbs9Vs7petCGOYvBUliFhBZ-B8R/edit?usp=share_link&ouid=114486108545068717063&rtpof=true&sd=true
,42,Анализ ситуации,Коммуникация,"Этот модуль играет роль понимания работы модератора, его инструментов, с переложением опыта в свои цели по изменению проектной работы в своей профессиональной траектории. Я увидел в своей команде по робототехнике то, что подход в корне нелогичен. Люди просто делают свою часть. Если задача писать код, то ничего этот человек не делает кроме этого. Отсутствует коммуникация внутри команды, встречи командой робототехников не очень часто происходят, работу не планируют, понимания о том, что именно делает и для кого команда не прорабатывает. В общем и целом, как я выше писал, нужно будет перестраивать систему в целом, как минимум в тех командах, в которых я буду работать. Я уже под конец основного модуля начал применять некоторые инструменты проектной деятельности своей команды, в дальнейшем буду думать, как еще можно организовать и поработать с коммуникацией и пониманием внутри сферы.",
,43,Осмысление результатов,Чистое мышление,"Ранее, для меня игротехника – это было только о том, как команду организовать. Теперь я вижу, что дело организацией не кончается. А это лишь его часть. Не было понимания, кто есть модератор, насколько сильно он член команды. Но модератор работает со всеми тремя слоями и является “маслом” для шестерней.",
,44,Осмысление результатов,Чистое мышление,"Модератор – “масло” для механизма.
Модератору не стоит переходить в позицию участника группы проектирования, потому что, во-первых, модератор перестанет быть модератором, а его инструменты начнут работать некорректно, так как у модератора потеряется “чистое” мышление, благодаря которому он может видеть работу команды.
Модератор себя контролирует и осмысленно использует инструменты.
Возможно это звучит банально и очевидно, но понял это лишь к середине, а точнее быть я это осознал, что нужно сначала быстро понять ситуацию, проанализировать ее, а потом выбрать необходимый в данной ситуации инструмент. Выбирать все надо для ситуации, а не просто делать что-то спонтанное, пытаясь вытащить группу.
Обозначение “позиции модератора”. Это стоит делать в самом начале, и в этот раз у меня это получилось, группа не бежала ко мне, как к наставнику за советом, не просила помочь, на мои вопросы участники не старались ответить лично мне, а начинали задавать их себе.
Обязательные работы с коммуникацией и организацией. В первую очередь необходимо то, чтобы коммуникация и организация группы были настроены. Работать в хаосе очень сложно, как группе, так и модератору, поэтому это в первую очередь, и только потом работа с пониманием и всё остальное.",
,45,Осмысление результатов,Коммуникация,"Сначала я набирал целый пакет различных инструментов, а потом распределил где и как я их буду использовать.
Освоенные инструменты:
        •        Схематизация – средство для работы с пониманием.
        •        Грамотное распределение команд с разными мнениями внутри подгруппы.
        •        Работа с коммуникацией, ее налаживание.
        •        Работа с пониманием своего места в группе.
        •        Работа с “активными и пассивными” участниками. Здесь же и работа с коммуникацией.
        •        Организация команды, создание плана действий и шагов.
        •        Позиция “непонимающего”. Я докрутил работу инструмента, нашел тонкие места, где нужно быть осторожным, научился создавать понимание того, что я намеренно использую данную позицию.
        •        Изменил представление рефлексии. Я отошел от 4-х вопросной или логической рефлексии, а теперь провожу рефлексию смотря на свои инструменты и понимаю ту схему, которая была дана, и понимаю как это делать наиболее эффективно конкретно для меня.",
,46,Проектирование,Мыследеятельность,"Лично я хочу поработать с третьим уровнем больше, так как я сделал в последние разы упор на второй, в котором есть что доработать, как и в том числе, в первом. Попробую адаптировать освоенные инструменты в робототехнике, возможно вывести свои, но есть и те инструменты, которые я буду активно использовать в своей сфере точно.
Хочу набрать инструментов, найти их и опробовать. У меня есть для этого план. Во-первых, я хочу прочитать литературу, там найти инструменты, во-вторых, найти инструменты в будущем опыте. Я накидаю инструменты в свой ящик, а затем их разложу, возможно от некоторых откажусь или отложу в дальний ящик. Опыт хочу получить, как минимум на модуле “Средовые проекты” у первого курса.
Также я бы хотел попробовать на практике, будучи участником команды, выходить в позицию модератора и попробовать мыслить “чисто”.",
9,47,Анализ ситуации,Мыследеятельность,"Я не рассматриваю для себя конкретную работу модератором проектной работы. Данная позиция является более косвенной в моей профессиональной траектории, ведь от неё я беру необходимые мне инструменты и понимание хода работы группы. Данная позиция помогает мне выходить в другую сторону понимания не только работы других, но и пересмотр своей же работы. Это очень сильно помогает мне в организации работы уже внутри группы.
Я выстраиваю свою траекторию таким образом, чтобы получить необходимые навыки и компетенции для работы в сфере project-managment’а. А одна из самых важных составляющих этой позиции - работа с пониманием. Обсуждение рабочей группы, общение с заказчиками - для всего этого явно требуется работа с пониманием а также и другие составляющие позиции игротехники.
Именно поэтому я стараюсь при любой возможности выбрать для себя эту позицию.",https://docs.google.com/document/d/1eNAMA3dkCB3aJMK6KemY8kCLS2i_vPJ1/edit?usp=share_link&ouid=114486108545068717063&rtpof=true&sd=true
,48,Осмысление результатов,Мыследеятельность,"Моей целью на этот модуль являлось получение необходимых мне инструментов для позиции project-manager. Но впоследствии я понял, что смогу получить больше чем просто инструменты. Как уже описал выше, я понял, что этот модуль помогает мне в достижении той же цели, но только другими способами, не такими, которые ожидал.
Также в ходе этого модуля обнаружил для себя и другую помощь в достижении моей цели. Я очень активно работаю с пространством нашего института, особенно с полем ценностей нашего сообщества. Я понял, что через модерацию могу более активно взаимодействовать с 1 курсом и передавать им некое понимание процессов, которые происходят в нашем институте. Особенно это стало заметным в поле применения игротехнических инструментов во время модерации группы в модуле “Rapid Farm”.",
